timestamp_sec,direction,type,val1,val2,val3,val4,val5,val6
1773038704.279887,RX,ODOM,0,0,,,,
1773038704.281597,RX,IMU,-800,-36,17888,-275,168,26
1773038704.299728,RX,ODOM,0,0,,,,
1773038704.301520,RX,IMU,-724,-300,18040,-278,176,34
1773038704.319625,RX,ODOM,0,0,,,,
1773038704.321408,RX,IMU,-920,-232,17928,-322,135,22
1773038704.339480,RX,ODOM,0,0,,,,
1773038704.341301,RX,IMU,-960,-148,18004,-307,136,8
1773038704.359396,RX,ODOM,0,0,,,,
1773038704.361257,RX,IMU,-1032,164,17844,-306,141,35
1773038704.379354,RX,ODOM,0,0,,,,
1773038704.381091,RX,IMU,-756,-44,18008,-291,118,12
1773038704.399231,RX,ODOM,0,0,,,,
1773038704.401043,RX,IMU,-856,-220,18028,-299,138,40
1773038704.419147,RX,ODOM,0,0,,,,
1773038704.420949,RX,IMU,-960,-164,18052,-285,129,22
1773038704.439008,RX,ODOM,0,0,,,,
1773038704.458864,RX,ODOM,0,0,,,,
1773038704.460748,RX,IMU,-900,-8,18064,-283,152,23
1773038704.478747,RX,ODOM,0,0,,,,
1773038704.480673,RX,IMU,-964,-36,18024,-293,147,33
1773038704.498727,RX,ODOM,0,0,,,,
1773038704.500476,RX,IMU,-828,-156,17944,-281,137,40
1773038704.518639,RX,ODOM,0,0,,,,
1773038704.520497,RX,IMU,-964,-144,18064,-293,124,18
1773038704.538453,RX,ODOM,0,0,,,,
1773038704.540320,RX,IMU,-1024,-184,17952,-289,142,18
1773038704.558430,RX,ODOM,0,0,,,,
1773038704.560230,RX,IMU,-888,52,18024,-312,130,15
1773038704.578319,RX,ODOM,0,0,,,,
1773038704.580245,RX,IMU,-952,-44,17996,-298,167,28
1773038704.598118,RX,ODOM,0,0,,,,
1773038704.600104,RX,IMU,-864,-120,18036,-276,134,43
1773038704.618097,RX,ODOM,0,0,,,,
1773038704.619933,RX,IMU,-760,-28,17944,-272,150,29
1773038704.638049,RX,ODOM,0,0,,,,
1773038704.639826,RX,IMU,-820,-204,17972,-302,146,30
1773038704.657943,RX,ODOM,0,0,,,,
1773038704.659654,RX,IMU,-912,-12,17968,-298,145,33
1773038704.677767,RX,ODOM,0,0,,,,
1773038704.679625,RX,IMU,-1008,-24,17900,-283,135,18
1773038704.697682,RX,ODOM,0,0,,,,
1773038704.699473,RX,IMU,-820,-16,18044,-308,146,18
1773038704.717576,RX,ODOM,0,0,,,,
1773038704.719396,RX,IMU,-764,-192,18036,-291,118,32
1773038704.737460,RX,ODOM,0,0,,,,
1773038704.739261,RX,IMU,-796,-280,18028,-312,140,23
1773038704.757394,RX,ODOM,0,0,,,,
1773038704.759206,RX,IMU,-968,-184,17920,-281,124,27
1773038704.777324,RX,ODOM,0,0,,,,
1773038704.779083,RX,IMU,-1008,60,17888,-288,141,17
1773038704.797104,RX,ODOM,0,0,,,,
1773038704.799005,RX,IMU,-808,116,18140,-279,139,19
1773038704.817006,RX,ODOM,0,0,,,,
1773038704.818867,RX,IMU,-860,-128,18156,-289,136,45
1773038704.836950,RX,ODOM,0,0,,,,
1773038704.838809,RX,IMU,-780,-332,17940,-291,143,34
1773038704.856758,RX,ODOM,0,0,,,,
1773038704.858740,RX,IMU,-940,-108,18036,-289,126,15
1773038704.876655,RX,ODOM,0,0,,,,
1773038704.878508,RX,IMU,-1056,-36,17996,-278,104,12
1773038704.896654,RX,ODOM,0,0,,,,
1773038704.898456,RX,IMU,-796,-48,17932,-289,145,19
1773038704.916619,RX,ODOM,0,0,,,,
1773038704.918417,RX,IMU,-764,-100,17960,-295,135,47
1773038704.936470,RX,ODOM,0,0,,,,
1773038704.938248,RX,IMU,-908,-308,18060,-298,140,24
1773038704.956249,RX,ODOM,0,0,,,,
1773038704.958218,RX,IMU,-1012,-156,18080,-296,125,16
1773038704.976267,RX,ODOM,0,0,,,,
1773038704.978102,RX,IMU,-1016,-4,18016,-312,136,12
1773038704.996065,RX,ODOM,0,0,,,,
1773038704.997918,RX,IMU,-960,76,17916,-289,146,41
1773038705.016072,RX,ODOM,0,0,,,,
1773038705.017908,RX,IMU,-824,-100,18076,-278,159,40
1773038705.035976,RX,ODOM,0,0,,,,
1773038705.037777,RX,IMU,-840,-240,18024,-279,121,11
1773038705.055763,RX,ODOM,0,0,,,,
1773038705.057613,RX,IMU,-908,-220,18004,-302,149,2
1773038705.075678,RX,ODOM,0,0,,,,
1773038705.077688,RX,IMU,-952,40,18008,-328,150,20
1773038705.095609,RX,ODOM,0,0,,,,
1773038705.097437,RX,IMU,-872,16,18028,-298,143,20
1773038705.115592,RX,ODOM,0,0,,,,
1773038705.117383,RX,IMU,-784,-148,18004,-305,144,41
1773038705.135480,RX,ODOM,0,0,,,,
1773038705.137329,RX,IMU,-828,-184,18072,-279,171,17
1773038705.155297,RX,ODOM,0,0,,,,
1773038705.157269,RX,IMU,-876,-224,18024,-304,142,21
1773038705.175259,RX,ODOM,0,0,,,,
1773038705.177078,RX,IMU,-880,-96,17912,-323,135,11
1773038705.195136,RX,ODOM,0,0,,,,
1773038705.196974,RX,IMU,-860,20,17900,-291,141,11
1773038705.215091,RX,ODOM,0,0,,,,
1773038705.216891,RX,IMU,-872,-64,17980,-276,146,38
1773038705.234947,RX,ODOM,0,0,,,,
1773038705.236748,RX,IMU,-864,-156,17916,-295,128,38
1773038705.254858,RX,ODOM,0,0,,,,
1773038705.256651,RX,IMU,-852,-196,18016,-280,143,21
1773038705.274753,RX,ODOM,0,0,,,,
1773038705.276553,RX,IMU,-860,-192,17868,-303,130,14
1773038705.294694,RX,ODOM,0,0,,,,
1773038705.296490,RX,IMU,-860,-12,17912,-305,111,5
1773038705.314481,RX,ODOM,0,0,,,,
1773038705.316514,RX,IMU,-892,48,17912,-292,147,29
1773038705.334451,RX,ODOM,0,0,,,,
1773038705.336284,RX,IMU,-892,-36,17944,-285,156,26
1773038705.354269,RX,ODOM,0,0,,,,
1773038705.356232,RX,IMU,-844,-204,17940,-302,147,42
1773038705.374220,RX,ODOM,0,0,,,,
1773038705.376045,RX,IMU,-916,-296,17944,-306,143,18
1773038705.394095,RX,ODOM,0,0,,,,
1773038705.395939,RX,IMU,-928,-116,18024,-298,151,11
1773038705.414008,RX,ODOM,0,0,,,,
1773038705.415859,RX,IMU,-916,64,18076,-290,127,19
1773038705.433893,RX,ODOM,0,0,,,,
1773038705.435855,RX,IMU,-780,-120,18020,-281,167,22
1773038705.453841,RX,ODOM,0,0,,,,
1773038705.455711,RX,IMU,-804,-176,18076,-274,143,42
1773038705.473695,RX,ODOM,0,0,,,,
1773038705.475684,RX,IMU,-892,-240,18020,-290,139,21
1773038705.493666,RX,ODOM,0,0,,,,
1773038705.495476,RX,IMU,-1000,-88,18012,-308,145,17
1773038705.513614,RX,ODOM,0,0,,,,
1773038705.515420,RX,IMU,-992,96,18044,-305,128,4
1773038705.533414,RX,ODOM,0,0,,,,
1773038705.535363,RX,IMU,-884,104,18016,-281,145,26
1773038705.553348,RX,ODOM,0,0,,,,
1773038705.555192,RX,IMU,-760,-156,17932,-297,142,47
1773038705.573244,RX,ODOM,0,0,,,,
1773038705.575072,RX,IMU,-880,-304,17996,-288,128,22
1773038705.593243,RX,ODOM,0,0,,,,
1773038705.595049,RX,IMU,-992,-88,18008,-323,160,-2
1773038705.613043,RX,ODOM,0,0,,,,
1773038705.615035,RX,IMU,-912,80,17880,-317,133,14
1773038705.633004,RX,ODOM,0,0,,,,
1773038705.633660,TX,VELOCITY,300,300,,,,
1773038705.634892,RX,IMU,-860,32,17800,-281,147,50
1773038705.652953,RX,ODOM,2,2,,,,
1773038705.654749,RX,IMU,-284,64,18016,-266,137,100
1773038705.672808,RX,ODOM,15,9,,,,
1773038705.674680,RX,IMU,1888,-36,18248,-617,-241,847
1773038705.692774,RX,ODOM,22,17,,,,
1773038705.694583,RX,IMU,1104,1792,17704,211,-294,-676
1773038705.712559,RX,ODOM,29,22,,,,
1773038705.714401,RX,IMU,1492,-512,16432,-125,159,-926
1773038705.732548,RX,ODOM,33,29,,,,
1773038705.734346,RX,IMU,-2804,2644,17124,97,1574,-458
1773038705.742814,TX,VELOCITY,300,300,,,,
1773038705.752355,RX,ODOM,38,34,,,,
1773038705.754236,RX,IMU,1748,4804,17244,535,687,-956
1773038705.772231,TX,VELOCITY,300,300,,,,
1773038705.772378,RX,ODOM,42,40,,,,
1773038705.774218,RX,IMU,-7360,208,19420,-437,658,-640
1773038705.792165,RX,ODOM,50,44,,,,
1773038705.793997,RX,IMU,1472,-1752,17280,-540,-854,-893
1773038705.812133,RX,ODOM,52,48,,,,
1773038705.813959,RX,IMU,-3192,920,20652,-176,-276,-665
1773038705.832074,RX,ODOM,54,51,,,,
1773038705.833878,RX,IMU,-944,-8056,20100,-57,-31,-596
1773038705.851971,RX,ODOM,56,52,,,,
1773038705.858672,TX,VELOCITY,300,300,,,,
1773038705.871897,RX,ODOM,56,54,,,,
1773038705.873590,RX,IMU,-10392,-3928,16468,-853,2899,-205
1773038705.891691,RX,ODOM,58,56,,,,
1773038705.893659,RX,IMU,4940,4720,12892,-823,-445,-160
1773038705.911571,RX,ODOM,59,58,,,,
1773038705.931474,RX,ODOM,60,60,,,,
1773038705.933396,RX,IMU,-1984,-1576,15056,-646,-1449,435
1773038705.951390,RX,ODOM,61,61,,,,
1773038705.953297,RX,IMU,672,-2672,16872,-59,115,472
1773038705.961001,TX,VELOCITY,300,300,,,,
1773038705.971313,RX,ODOM,60,63,,,,
1773038705.972269,TX,VELOCITY,300,300,,,,
1773038705.973251,RX,IMU,1036,-760,26428,12,-397,-448
1773038705.991316,RX,ODOM,60,62,,,,
1773038705.993062,RX,IMU,2044,2100,19168,-157,-813,782
1773038706.011146,RX,ODOM,61,63,,,,
1773038706.031110,RX,ODOM,64,65,,,,
1773038706.032938,RX,IMU,-1852,-4472,16564,-1092,-593,-29
1773038706.050890,RX,ODOM,67,67,,,,
1773038706.052830,RX,IMU,4000,1772,12896,-55,-1347,910
1773038706.069945,TX,VELOCITY,300,300,,,,
1773038706.070795,RX,ODOM,69,68,,,,
1773038706.072677,RX,IMU,2060,356,16088,-1029,493,-336
1773038706.090742,RX,ODOM,69,69,,,,
1773038706.092688,RX,IMU,2060,356,16088,-1029,493,-336
1773038706.110739,RX,ODOM,70,68,,,,
1773038706.112571,RX,IMU,908,3708,14072,-511,340,-269
1773038706.130607,RX,ODOM,72,68,,,,
1773038706.132448,RX,IMU,-320,-1320,25952,-1644,848,359
1773038706.150471,RX,ODOM,72,71,,,,
1773038706.152385,RX,IMU,-7264,-4348,16280,-571,298,157
1773038706.170306,RX,ODOM,71,73,,,,
1773038706.172322,TX,VELOCITY,300,300,,,,
1773038706.172520,RX,IMU,2812,4808,11428,-359,-663,-101
1773038706.180123,TX,VELOCITY,420,180,,,,
1773038706.190278,RX,ODOM,73,72,,,,
1773038706.192081,RX,IMU,-1120,-2968,19624,-608,-986,577
1773038706.210117,RX,ODOM,76,69,,,,
1773038706.212055,RX,IMU,712,2988,10232,-818,1175,129
1773038706.230096,RX,ODOM,80,65,,,,
1773038706.249906,RX,ODOM,85,62,,,,
1773038706.269960,RX,ODOM,89,61,,,,
1773038706.271661,RX,IMU,744,-2608,18556,-967,1858,-3993
1773038706.289721,RX,ODOM,90,59,,,,
1773038706.291250,TX,VELOCITY,420,180,,,,
1773038706.291708,RX,IMU,3856,9816,9776,2,-780,-5011
1773038706.309588,RX,ODOM,94,57,,,,
1773038706.311473,RX,IMU,352,4820,9364,389,-345,-5322
1773038706.329477,RX,ODOM,94,55,,,,
1773038706.331402,RX,IMU,-212,-2744,21688,761,2159,-6470
1773038706.349455,RX,ODOM,97,54,,,,
